country,competitiveness
,
Argentina,63
,
Australia,19
,
Austria,24
,
Bahrain,25
,
Belgium,13
,
Botswana,59
,
Brazil,60
,
Bulgaria,57
,
Canada,15
,
Chile,44
,
China,21
,
Colombia,58
,
Croatia,50
,
Cyprus,45
,
Czech Republic,18
,
Denmark,1
,
Estonia,26
,
Finland,11
,
France,33
,
Germany,22
,
Greece,49
,
Hong Kong SAR,7
,
Hungary,46
,
Iceland,16
,
India,40
,
Indonesia,34
,
Ireland,2
,
Israel,23
,
Italy,41
,
Japan,35
,
Jordan,54
,
Kazakhstan,37
,
Korea Rep.,28
,
Kuwait,38
,
Latvia,51
,
Lithuania,32
,
Luxembourg,20
,
Malaysia,27
,
Mexico,56
,
Mongolia,62
,
Netherlands,5
,
New Zealand,31
,
Norway,14
,
Peru,55
,
Philippines,52
,
Poland,43
,
Portugal,39
,
Qatar,12
,
Romania,48
,
Saudi Arabia,17
,
Singapore,4
,
Slovak Republic,53
,
Slovenia,42
,
South Africa,61
,
Spain,36
,
Sweden,8
,
Switzerland,3
,
"Taiwan, China",6
,
Thailand,30
,
Turkey,47
,
UAE,10
,
United Kingdom,29
,
USA,9
,
Venezuela,64
