Country,corruption,,
Denmark ,90,,
Finland ,87,,
New Zealand ,87,,
Norway ,84,,
Singapore ,83,,
Sweden ,83,,
Switzerland ,82,,
Netherlands ,80,,
Germany ,79,,
Ireland ,77,,
Luxembourg ,77,,
Hong Kong ,76,,
Australia ,75,,
Canada ,74,,
Estonia ,74,,
Iceland ,74,,
Uruguay ,74,,
Belgium ,73,,
Japan ,73,,
United Kingdom ,73,,
France ,72,,
Austria ,71,,
Seychelles ,70,,
United States ,69,,
Bhutan ,68,,
Taiwan ,68,,
Chile ,67,,
United Arab Emirates ,67,,
Barbados ,65,,
Bahamas ,64,,
Israel ,63,,
South Korea ,63,,
Lithuania ,62,,
Portugal ,62,,
Botswana ,60,,
Brunei ,60,,
Cape Verde ,60,,
Spain ,60,,
St Vincent and the Grenadines ,60,,
Latvia ,59,,
Qatar ,58,,
Czech Republic ,56,,
Georgia ,56,,
Italy ,56,,
Slovenia ,56,,
Dominica ,55,,
Poland ,55,,
St Lucia ,55,,
Costa Rica ,54,,
Slovakia ,53,,
Cyprus ,52,,
Greece ,52,,
Grenada ,52,,
Malta ,51,,
Rwanda ,51,,
Saudi Arabia ,51,,
Croatia ,50,,
Mauritius ,50,,
Namibia ,49,,
Vanuatu ,48,,
Jordan ,47,,
Malaysia ,47,,
Armenia ,46,,
Romania ,46,,
China ,45,,
Cuba ,45,,
Montenegro ,45,,
Sao Tome and Principe ,45,,
Bahrain ,44,,
Jamaica ,44,,
Oman ,44,,
Benin ,43,,
Bulgaria ,43,,
Ghana ,43,,
Senegal ,43,,
South Africa ,43,,
Burkina Faso ,42,,
East Timor ,42,,
Hungary ,42,,
Kuwait ,42,,
Solomon Islands ,42,,
Trinidad and Tobago ,42,,
Vietnam ,42,,
Kosovo ,41,,
Guyana ,40,,
India ,40,,
Macedonia ,40,,
Maldives ,40,,
Suriname ,40,,
Tunisia ,40,,
Belarus ,39,,
Colombia ,39,,
Moldova ,39,,
Argentina ,38,,
Brazil ,38,,
Ethiopia ,38,,
Morocco ,38,,
Tanzania ,38,,
Ivory Coast ,37,,
Lesotho ,37,,
Albania ,36,,
Ecuador ,36,,
Kazakhstan ,36,,
Panama ,36,,
Peru ,36,,
Serbia ,36,,
Sri Lanka ,36,,
Thailand ,36,,
Turkey ,36,,
Bosnia and Herzegovina ,34,,
Gambia ,34,,
Indonesia ,34,,
Malawi ,34,,
Nepal ,34,,
Sierra Leone ,34,,
Algeria ,33,,
Angola ,33,,
El Salvador ,33,,
Mongolia ,33,,
Philippines ,33,,
Ukraine ,33,,
Zambia ,33,,
Dominican Republic ,32,,
Kenya ,32,,
Niger ,32,,
Bolivia ,31,,
Laos ,31,,
Mexico ,31,,
Uzbekistan ,31,,
Djibouti ,30,,
Egypt ,30,,
Mauritania ,30,,
Papua New Guinea ,30,,
Swaziland ,30,,
Togo ,30,,
Gabon ,29,,
Mali ,28,,
Paraguay ,28,,
Russia ,28,,
Kyrgyzstan ,27,,
Pakistan ,27,,
Cameroon ,26,,
Liberia ,26,,
Madagascar ,26,,
Mozambique ,26,,
Uganda ,26,,
Bangladesh ,25,,
Guinea ,25,,
Iran ,25,,
Afghanistan ,24,,
Cambodia ,24,,
Central African Republic ,24,,
Guatemala ,24,,
Lebanon ,24,,
Nigeria ,24,,
Tajikistan ,24,,
Azerbaijan ,23,,
Honduras ,23,,
Iraq ,23,,
Myanmar ,23,,
Zimbabwe ,23,,
Eritrea ,22,,
Sudan ,22,,
Congo ,21,,
Guinea Bissau ,21,,
Republic of the Congo ,20,,
Chad ,19,,
Comoros ,19,,
Nicaragua ,19,,
Turkmenistan ,19,,
Burundi ,17,,
Equatorial Guinea ,17,,
Haiti ,17,,
Libya ,17,,
North Korea ,17,,
Yemen ,16,,
Venezuela ,14,,
South Sudan ,13,,
Syria ,13,,
Somalia ,12,,
