country,gdp_per_capita
United States,"$75,269 "
China,"$12,598 "
Japan,"$34,135 "
Germany,"$48,845 "
India,"$2,389 "
United Kingdom,"$45,485 "
France,"$43,061 "
Russia,"$15,482 "
Canada,"$55,646 "
Italy,"$34,053 "
Brazil,"$8,918 "
Australia,"$64,003 "
South Korea,"$32,138 "
Mexico,"$11,091 "
Spain,"$29,385 "
Indonesia,"$4,788 "
Saudi Arabia,"$30,436 "
Netherlands,"$56,429 "
Turkey,"$10,616 "
Switzerland,"$92,410 "
Poland,"$17,266 "
Argentina,"$13,904 "
Sweden,"$55,543 "
Norway,"$106,594 "
Belgium,"$49,640 "
Ireland,"$105,362 "
Israel,"$57,758 "
United Arab Emirates,"$53,758 "
Thailand,"$6,909 "
Nigeria,"$2,184 "
Egypt,"$4,295 "
Austria,"$52,732 "
Singapore,"$78,115 "
Bangladesh,"$2,688 "
Vietnam,"$4,164 "
Malaysia,"$11,972 "
South Africa,"$6,776 "
Philippines,"$3,499 "
Denmark,"$67,220 "
Iran,"$4,388 "
Pakistan,"$1,597 "
Hong Kong,"$48,050 "
Colombia,"$6,630 "
Romania,"$15,324 "
Chile,"$15,355 "
Czech Republic (Czechia),"$27,723 "
Finland,"$50,684 "
Iraq,"$5,937 "
Portugal,"$24,530 "
New Zealand,"$47,680 "
Peru,"$7,126 "
Qatar,"$88,046 "
Kazakhstan,"$11,373 "
Greece,"$21,095 "
Algeria,"$4,274 "
Kuwait,"$43,233 "
Hungary,"$17,938 "
Ukraine,"$4,043 "
Morocco,"$3,582 "
Ethiopia,"$1,028 "
Slovakia,"$20,461 "
Ecuador,"$6,391 "
Oman,"$25,057 "
Dominican Republic,"$10,121 "
Kenya,"$2,099 "
Angola,"$2,999 "
Guatemala,"$5,324 "
Bulgaria,"$13,129 "
Luxembourg,"$127,046 "
Uzbekistan,"$2,322 "
Azerbaijan,"$7,600 "
Panama,"$17,358 "
Tanzania,"$1,156 "
Sri Lanka,"$3,408 "
Ghana,"$2,176 "
Belarus,"$7,634 "
Uruguay,"$20,795 "
Croatia,"$17,608 "
Lithuania,"$25,576 "
Côte d'Ivoire,"$2,486 "
Costa Rica,"$13,199 "
Serbia,"$8,794 "
Slovenia,"$29,303 "
Myanmar,"$1,096 "
DR Congo,$586 
Sudan,"$1,102 "
Jordan,"$4,205 "
Tunisia,"$3,777 "
Libya,"$6,716 "
Uganda,$964 
Bahrain,"$30,152 "
Cameroon,"$1,588 "
Bolivia,"$3,523 "
Paraguay,"$6,153 "
Latvia,"$22,238 "
Nepal,"$1,337 "
Estonia,"$28,732 "
El Salvador,"$5,127 "
Honduras,"$3,040 "
Papua New Guinea,"$3,020 "
Cambodia,"$1,787 "
Zambia,"$1,488 "
Cyprus,"$22,724 "
Trinidad and Tobago,"$18,222 "
Iceland,"$74,663 "
Senegal,"$1,599 "
Georgia,"$6,571 "
Bosnia and Herzegovina,"$7,585 "
Macao,"$31,618 "
Guinea,"$1,532 "
Gabon,"$8,820 "
Zimbabwe,"$1,267 "
Botswana,"$7,738 "
Haiti,"$1,748 "
Armenia,"$7,014 "
State of Palestine,"$3,640 "
Burkina Faso,$833 
Albania,"$6,643 "
Mali,$833 
Mozambique,$541 
Malta,"$33,313 "
Benin,"$1,303 "
Jamaica,"$6,047 "
Mongolia,"$4,947 "
Brunei ,"$37,152 "
Laos,"$2,088 "
Nicaragua,"$2,255 "
Guyana,"$18,990 "
Madagascar,$505 
Congo,"$2,448 "
Moldova,"$4,406 "
Niger,$533 
North Macedonia,"$6,478 "
Rwanda,$966 
Malawi,$645 
Mauritius,"$9,926 "
Bahamas,"$31,458 "
Chad,$717 
Namibia,"$4,911 "
Equatorial Guinea,"$7,053 "
Kyrgyzstan,"$1,649 "
Tajikistan,"$1,054 "
Mauritania,"$2,191 "
Togo,$918 
Maldives,"$11,818 "
Montenegro,"$9,721 "
Barbados,"$20,019 "
Fiji,"$5,317 "
Eswatini,"$4,040 "
Liberia,$755 
Sierra Leone,$461 
Suriname,"$5,858 "
Andorra,"$41,993 "
Timor-Leste,"$2,358 "
Burundi,$238 
Belize,"$6,968 "
Lesotho,"$1,107 "
Central African Republic,$427 
Cabo Verde,"$3,903 "
Gambia,$840 
Saint Lucia,"$11,481 "
Antigua and Barbuda,"$18,745 "
Guinea-Bissau,$776 
Solomon Islands,"$2,203 "
Seychelles,"$14,829 "
Grenada,"$10,016 "
Comoros,"$1,485 "
Vanuatu,"$3,010 "
Saint Kitts & Nevis,"$20,177 "
St. Vincent & Grenadines,"$9,125 "
Samoa,"$3,743 "
Dominica,"$8,415 "
Sao Tome & Principe,"$2,404 "
Micronesia,$792 
Marshall Islands,"$6,728 "
Kiribati,"$1,702 "
Tuvalu,"$5,335 "
