country,gii
Yemen,0.820
Papua New Guinea,0.725
Nigeria,0.680
Afghanistan,0.678
Central African Republic,0.672
Chad,0.652
Liberia,0.648
Haiti,0.635
Sierra Leone,0.633
Mauritania,0.632
Tonga,0.631
Guinea-Bissau,0.627
Guinea,0.621
Burkina Faso,0.621
Côte d'Ivoire,0.613
Mali,0.613
Gambia,0.611
Niger,0.611
Benin,0.602
Congo,0.601
South Sudan,0.587
Togo,0.580
Cameroon,0.565
Congo,0.564
Tanzania,0.560
Iraq,0.558
Lesotho,0.557
Madagascar,0.556
Malawi,0.554
Sudan,0.553
Gabon,0.541
Eswatini,0.540
Zambia,0.540
Angola,0.537
Mozambique,0.537
Pakistan,0.534
Zimbabwe,0.532
Bangladesh,0.530
Uganda,0.530
Senegal,0.530
Ghana,0.529
Ethiopia,0.520
Kenya,0.506
Burundi,0.505
Algeria,0.499
Myanmar,0.498
Sao Tome and Principe,0.494
Venezuela,0.492
India,0.490
Guatemala,0.481
Lao People's Democratic Republic,0.478
Syrian Arab Republic,0.477
Jordan,0.471
Botswana,0.468
Cambodia,0.461
Iran,0.459
Guyana,0.454
Nepal,0.452
Paraguay,0.445
Namibia,0.445
Indonesia,0.444
Egypt,0.443
Lebanon,0.432
Honduras,0.431
Dominican Republic,0.429
Suriname,0.427
Morocco,0.425
Colombia,0.424
Nicaragua,0.424
Philippines,0.419
Samoa,0.418
Bolivia,0.418
Bhutan,0.415
South Africa,0.405
Panama,0.392
Brazil,0.390
Saint Vincent and the Grenadines,0.390
Rwanda,0.388
Sri Lanka,0.383
Saint Lucia,0.381
Peru,0.380
Timor-Leste,0.378
El Salvador,0.376
Kyrgyzstan,0.370
Belize,0.364
Ecuador,0.362
Cabo Verde,0.349
Maldives,0.348
Mauritius,0.347
Trinidad and Tobago,0.344
Jamaica,0.335
Thailand,0.333
Bahamas,0.329
Fiji,0.318
Mongolia,0.313
Mexico,0.309
Kuwait,0.305
Cuba,0.303
Oman,0.300
Vietnam,0.296
Azerbaijan,0.294
Argentina,0.287
Tajikistan,0.285
Romania,0.282
Georgia,0.280
Türkiye,0.272
Barbados,0.268
Brunei Darussalam,0.259
Tunisia,0.259
Libya,0.259
Costa Rica,0.256
Saudi Arabia,0.247
Uruguay,0.235
Malaysia,0.228
Uzbekistan,0.227
Hungary,0.221
Qatar,0.220
Armenia,0.216
Bulgaria,0.210
Moldova,0.205
Russian Federation,0.203
Ukraine,0.200
China,0.192
Chile,0.187
Bahrain,0.181
Slovakia,0.180
United States,0.179
Turkmenistan,0.177
Malta,0.167
Kazakhstan,0.161
Latvia,0.151
Albania,0.144
Bosnia and Herzegovina,0.136
North Macedonia,0.134
Serbia,0.131
Cyprus,0.123
Czechia,0.120
Greece,0.119
Montenegro,0.119
Poland,0.109
Lithuania,0.105
Belarus,0.104
Estonia,0.100
United Kingdom,0.098
Croatia,0.093
New Zealand,0.088
Japan,0.083
Israel,0.083
France,0.083
Ireland,0.074
Australia,0.073
Germany,0.073
Slovenia,0.071
Canada,0.069
Korea,0.067
Portugal,0.067
Spain,0.057
Italy,0.056
Austria,0.053
United Arab Emirates,0.049
Belgium,0.048
Luxembourg,0.044
Iceland,0.043
Singapore,0.040
Finland,0.033
Netherlands,0.025
Sweden,0.023
Switzerland,0.018
Norway,0.016
Denmark,0.013
