country,gini
South Africa,63
Namibia,59.1
Sao Tome And Principe,56.3
Eswatini,54.6
Brazil,53.4
Belize,53.3
Colombia,51.3
Saint Lucia,51.2
Guinea Bissau,50.7
Republic Of The Congo,48.9
Guatemala,48.3
Honduras,48.2
Cameroon,46.6
Ecuador,45.7
Jamaica,45.5
Mexico,45.4
Comoros,45.3
Guyana,45.1
Lesotho,44.9
Venezuela,44.8
South Sudan,44.1
Chad,43.3
Togo,43.1
Argentina,42.9
Uganda,42.8
Madagascar,42.6
Philippines,42.3
Dr Congo,42.1
Iran,42
Turkey,41.9
Dominican Republic,41.9
Papua New Guinea,41.9
Djibouti,41.6
Ivory Coast,41.5
United States,41.4
Bulgaria,41.3
Kenya,40.8
Turkmenistan,40.8
Tanzania,40.5
Senegal,40.3
Trinidad And Tobago,40.3
Micronesia,40.1
Israel,39
Laos,38.8
El Salvador,38.8
Samoa,38.7
China,38.5
Indonesia,38.2
Gabon,38
Vanuatu,37.6
Russia,37.5
Bhutan,37.4
Solomon Islands,37.1
Kiribati,37
Somalia,36.8
Mauritius,36.8
Fiji,36.7
Italy,35.9
Gambia,35.9
India,35.7
Vietnam,35.7
Sierra Leone,35.7
Lithuania,35.7
Nigeria,35.1
United Kingdom,35.1
Latvia,35.1
Ethiopia,35
Thailand,34.9
Spain,34.7
Australia,34.4
Niger,34.3
Sudan,34.2
Tajikistan,34
Jordan,33.7
Portugal,33.5
Albania,33.2
Switzerland,33.1
Bosnia And Herzegovina,33
North Macedonia,33
Japan,32.9
Greece,32.9
Nepal,32.8
Cyprus,32.7
Bangladesh,32.4
France,32.4
Germany,31.9
Pakistan,31.6
Egypt,31.5
South Korea,31.4
Maldives,31.3
Austria,30.8
Myanmar,30.7
Estonia,30.3
Sweden,30
Armenia,29.9
Hungary,29.6
Iraq,29.5
Netherlands,28.1
Algeria,27.6
Afghanistan,
Morocco,39.5
Canada,33.3
Poland,30.2
Saudi Arabia,
Mozambique,54
Angola,51.3
Ghana,43.5
Peru,41.5
Malaysia,41.1
Yemen,36.7
Uzbekistan,35.3
Ukraine,26.6
Taiwan,
Zambia,57.1
Malawi,44.7
Chile,44.4
Sri Lanka,39.3
Romania,35.8
Burkina Faso,35.3
Mali,33
Kazakhstan,27.8
Cambodia,
Zimbabwe,50.3
Benin,47.8
Rwanda,43.7
Bolivia,41.6
Haiti,41.1
Burundi,38.6
Guinea,33.7
Tunisia,32.8
Belgium,27.2
Azerbaijan,26.6
United Arab Emirates,26
Belarus,25.3
Czech Republic,25
Hong Kong,
Nicaragua,46.2
Paraguay,45.7
Serbia,36.2
Kyrgyzstan,29.7
Singapore,
Denmark,28.2
Slovakia,
Central African Republic,56.2
Panama,49.8
Uruguay,39.7
Georgia,35.9
Liberia,35.3
Palestine,33.7
Mongolia,32.7
Mauritania,32.6
Lebanon,31.8
Ireland,31.4
Croatia,29.7
Norway,27.6
Finland,27.3
New Zealand,
Costa Rica,48.2
Moldova,25.7
Qatar,
Botswana,53.3
Timor Leste,28.7
Iceland,26.1
Slovenia,24.6
Macau,
Suriname,57.9
Montenegro,38.5
Luxembourg,35.4
Malta,28.7
Jersey,
Tonga,37.6
Seychelles,32.1
Greenland,
Faroe Islands,
Tuvalu,39.1
Nauru,34.8
Falkland Islands,
