country,innovation
Switzerland,64.6
USA,61.8
Sweden,61.6
UK,59.7
Netherlands,58
South Korea,57.8
Singapore,57.3
Germany,57.2
Finland,56.9
Denmark,55.9
China,55.3
France,55
Japan,53.6
Hong Kong,51.8
Canada,50.8
Austria,50.2
Estonia,50.2
Israel,50.2
Luxembourg,49.8
Iceland,49.5
Malta,49.1
Norway,48.8
Ireland,48.5
New Zealand,47.2
Australia,47.1
Belgium,46.9
Cyprus,46.2
Italy,46.1
Spain,44.6
Czechia,42.8
Portugal,42.1
UA Emirates,42.1
Slovenia,40.6
Hungary,39.8
Bulgaria,39.5
Malaysia,38.7
Turkey,38.1
Poland,37.5
Lithuania,37.4
India,36.6
Latvia,36.5
Croatia,35.6
Thailand,34.9
Greece,34.5
Mauritius,34.4
Russia,34.3
Slovakia,34.3
Vietnam,34.3
Romania,34.1
Chile,34
Saudi Arabia,33.4
Iran,32.9
Qatar,32.9
Brazil,32.5
Serbia,32.3
Moldova,31.1
Mexico,31
Ukraine,31
Philippines,30.7
Montenegro,30.3
South Africa,29.8
Colombia,29.2
Kuwait,29.2
Uruguay,29.2
Peru,29.1
Morocco,28.8
North Macedonia,28.8
Costa Rica,28.7
Argentina,28.6
Bosnia & Herz.,28.5
Mongolia,28
Bahrain,27.9
Georgia,27.9
Indonesia,27.9
Tunisia,27.9
Jamaica,27.7
Belarus,27.5
Jordan,27.4
Oman,26.8
Armenia,26.6
Panama,25.7
Uzbekistan,25.3
Kazakhstan,24.7
Albania,24.4
Sri Lanka,24.2
Botswana,23.9
Pakistan,23
Kenya,22.8
Domin. Rep.,22.7
Egypt,22.7
Paraguay,22.6
Brunei,22.1
Azerbaijan,21.4
Kyrgyzstan,21.1
Ghana,20.8
Namibia,20.6
Cambodia,20.5
Ecuador,20.3
El Salvador,19.9
Senegal,19.9
Tr.&Tobago,19.8
Bangladesh,19.7
Tanzania,19.4
Tajikistan,18.8
Rwanda,18.7
Madagascar,18.6
Zimbabwe,18.1
Guatemala,17.8
Ivory Coast,17.8
Nepal,17.6
Laos,17.4
Honduras,17.3
Nigeria,16.9
Algeria,16.7
Burma,16.4
Ethiopia,16.3
Zambia,15.8
Uganda,15.7
Burkina Faso,15.3
Cameroon,15.1
Togo,15.1
Mozambique,15
Benin,14.6
Niger,14.6
Mali,14.2
Angola,13.9
Yemen,13.8
Guinea,11.6
